proj_no,project_title,approval_number,Type,status
41018-012,FACILITTNG RPT & ENVRNMNTALLY SSTAINABLE DEVT OF ELECT INFRSTRCTRE GMS,6440,TA,FIN COMPL
41074-012,EFFICIENCY IMPROVEMENT & CONNECTIVITY STRENGTHENING IN ASIA PROJECT,6441,TA,FIN COMPL
41574-012,IMPLEMENTATION OF THE SEED CAPITAL ASSISTANCE FACILITY (GEF),6442,TA,ACTIVE
40629-012,ENERGY FOR ALL INITIATIVE,6443,TA,FIN COMPL
41531-012,SUPPORTING THE BOAO FORUM FOR ASIA,6444,TA,FIN COMPL
41251-012,SUPPRT FOR IMPLMNTATION OF THE 2ND GOVRNANCE&ANTICORRPTION ACTIONPLAN,6445,TA,ACTIVE
41075-012,STRENGTHENING SOUND ENVIRONMENTAL MANAGEMENT IN THE BIMP-EAGA,6446,TA,FIN COMPL
40320-012,INTGRATNG HUMAN TRAFFICKNG&SAFE MIGRATION CONCERNS FOR WOMEN&CHILDRN,6448,TA,FIN COMPL
40437-012,ENHANCING TRANSPORT&TRADE FACILITATION IN THE GREATER MEKONG SUBREGION,6450,TA,FIN COMPL
40226-012,CAP BLD&INSTTUTIONL STRNGTHNG OF FTA UNITS OF SELCTD ASEAN MEM CNTRIES,6451,TA,FIN COMPL
40213-012,CAPACITY BUILDING FOR BOND MARKET DEVELOPMENT IN ASEAN+3,6453,TA,FIN COMPL
42096-012,SUPPORTING REG'L CAPACITIES FOR FINANCIAL ASSET&LIABILITY & RISK MGMNT,6454,TA,FIN COMPL
42066-012,SUPPRTNG THE THIRD-HIGH-LVL FORUM ON AID EFFCTVNSS&PREP CNSLTN PROCESS,6455,TA,FIN COMPL
40190-012,GMS FLOOD AND DROUGHT RISK MANAGEMENT AND MITIGATION PROJECT,6456,TA,FIN COMPL
41225-012,BOND FINANCING FOR INFRASTRUCTURE PROJECTS IN THE ASEAN+3 REGION,6460,TA,FIN COMPL
41650-012,STRENGTHENING PACIFIC ECONOMIC ANALYSIS AND POLICY DEVELOPMENT,6463,TA,FIN COMPL
41353-012,HIV PREVENTION AND INFRASTRUCTURE:MITIGATING RISK IN THE GMS,6467,TA,FIN COMPL
41063-012,MANAGING WTER IN ASIA'S RVER BASINS:CHARTING PROGRESS&FACILITATNG INVT,6470,TA,FIN COMPL
42073-012,STRNGTHNG COASTL&MRINE RSOURCS MGNT IN THE CORAL TRIANGLE OF THE PACFC,6471,TA,FIN COMPL
42104-012,STRTEGIC PRTNRSHP FOR POLICY DEVT&ACTION TO FORSTR REGL COOP IN S.ASIA,6472,TA,FIN COMPL
42132-012,Strengthening Southeast Asian Financial Markets,6473,TA,FIN COMPL
41658-012,ENHANCING ENGAGEMENT WITH PACIFIC DEVELOPING MEMBER COUNTRIES,6475,TA,FIN COMPL
42064-012,SOUTH ASIAN REGL COOP IN 2030:THE POTENTIAL ROLE OF INDIA & PAK,6476,TA,FIN COMPL
42329-012,SSTA FOR PREPARING A RESPONSE IN  THE PACIFIC TO HIGH PRICES,6477,TA,FIN COMPL
41368-012,MEKONG WATER SUPPLY AND SANITATION PROJECT,6484,TA,FIN COMPL
42078-012,Promoting Energy Efficiency in  the Pacific,6485,TA,FIN COMPL
41316-012,IMPROVED MANAGEMENT OF WATER RESOURCES IN CENTRAL ASIA,6486,TA,FIN COMPL
42111-012,"CENTRAL ASIA REGIONAL ECONOMIC COOPERATION INSTITUTE, 2009-2012",6488,TA,FIN COMPL
42105-012,KNWLDGE SHARING ON INFRSTRUCTRE PUBLIC-PRIVATE PARTNRSHPS IN ASIA,6492,TA,ACTIVE
42097-012,CMPUTBLE GEN EQUIL MODELNG FRMWRK FOR ANLYZNG_IMPCTS OF PWR TRDNG,6494,TA,FIN COMPL
41187-012,REGL PARTNRSHPS FOR CLIMATE CHANGE ADAPTATION&DISASTER PREPAREDNS,6496,TA,FIN COMPL
42384-012,KNOWLEDGE AND INNOVATION SUPPORT FOR ADB'S WATER FINANCING PROG,6498,TA,ACTIVE
42454-012,STRNGTHNG GOVERNANCE&ACCOUNTABILITY IN PACFC ISLAND COUNTRIES PH2,6499,TA,FIN COMPL
41279-012,EXPANDNG THE IMPLMNTTN OF THE ENERGY EFFICIENCY INITIATIVE IN DMC,6501,TA,FIN COMPL
41061-012,REGL KNWLDGE&PRTNRSHP NETWRKS FOR PVRTY REDUCTION&INCLUSIVE GRWTH,6502,TA,ACTIVE
42470-012,IMPRVNG CONNCTVTY&DSTINATN MNGT OF CULTURAL&NATRL RSRCS IN S.ASIA,6504,TA,FIN COMPL
41648-012,"ENHANCING FINANCIAL DISCLOSURE  STANDARDS IN ARM, AZE, AND GEO",6505,TA,FIN COMPL
41517-012,MINMZNG FOREIGN EXCH STTLMNT RISK IN ASEAN+3 REG:SPRT GRP EXPERTS,6509,TA,ACTIVE
41093-012,"RURAL INFO&COMM TECH POLICY ADVOCACY,KNWLEDGE SHARING,& CAP BLDG",6513,TA,FIN COMPL
40572-012,HARMONIZATION OF BOND STANDARDS IN ASEAN+3,6514,TA,FIN COMPL
41252-012,IMPCT OF MATRNAL&CHILD HEALTH PRIV EXPNDITURE ON POVERTY&INEQUITY,6515,TA,FIN COMPL
39542-012,ACCELERATING THE IMPLMNTATION OF THE CORE AGRICULTUR SUPPORTPROG,6521,TA,ACTIVE
42499-012,ESTABLISHMENT OF THE PACIFIC INFRASTRUCTURE ADVISORY CENTER,6522,TA,FIN COMPL
42455-012,PARTNERSHIP FOR GOOD GOVERNANCE AND KNOWLEDGE ON URBAN WATER MGNT,6523,TA,FIN COMPL
43057-012,CLIMATE IMPACTS AND RESPONSES:A MULTIMEDIA CAMPAIGN PROJECT,6524,TA,FIN COMPL
32507-013,STRENGTHENING REGULATION AND GOVERNANCE,7000,TA,FIN COMPL
40637-012,DEVELOPMENT OF BIOMASS POWER GENERATION IN RURAL AREAS,7006,TA,FIN COMPL
41662-012,BUILDING THE CAPACITY OF THE SUSTAINABLE ENERGY AUTHORITY,7011,TA,FIN COMPL
40193-012,UPDATING THE NATIONAL WATER POLICY AND STRATEGY,7013,TA,FIN COMPL
40676-012,ENHANCEMENT OF THE PERFORMANCE AUDIT CAPACITY OF CHINA NATL AUDIT OFCE,7017,TA,FIN COMPL
41672-012,STRENGTHENING OPERATIONS AND BUSINESS PROCESSES IN VIET NAM RAILWAYS,7018,TA,FIN COMPL
40287-012,INFRASTURCTURE DEVELOPMENT PROJECT,7022,TA,FIN COMPL
41077-012,SUPPORTING THE ENERGY EFFICIENCY PROGRAM IMPLEMENTATION PROJECT,7024,TA,FIN COMPL
40354-012,SUPPORT FOR HEALTH SYSTEMS DEVELOPMENT PROGRAM,7029,TA,FIN COMPL
41435-022,TONLE SAP POVERTY REDUCTION AND SMALLHOLDER DEVELOPMENT PROJECT,7037,TA,FIN COMPL
40684-012,SILK ROAD ECOSYSTEM RESTORATION PROJECT,7040,TA,FIN COMPL
40255-012,CENTRAL MEKONG DELTA REGION CONNECTIVITY PROJECT,7045,TA,FIN COMPL
38327-012,IMPLEMENTING THE NATIONAL FLOOD MANAGEMENT STRATEGY,7049,TA,FIN COMPL
41078-012,PILOTING COMMUNITY E-CENTERS FOR BETTER HEALTH,7058,TA,FIN COMPL
41049-012,MAKING MARKETS WORK BETTER FOR THE POOR PHASE 2,7064,TA,FIN COMPL
41004-012,DEVT OF THE CAPITAL MARKET AND A MODERNIZED PYMNT AND SETTLEMENT SYS,7075,TA,FIN COMPL
41679-012,INSTTUTIONL STRNGTHNG FOR DECNTRALIZD SERVICE DELIVERY IN THE WTR SECT,7078,TA,FIN COMPL
42052-012,CAREC TRANSPORT CORRIDOR III (DUSHANBE-UZB BORDER ROAD) PROJECT,7080,TA,FIN COMPL
42013-012,URBAN WASTEWATER REUSE AND SLUDGE UTILIZATION POLICY STUDY,7083,TA,FIN COMPL
41339-012,SKILLS ENHANCEMENT PROJECT,7086,TA,FIN COMPL
41071-012,HUE WATER SUPPLY PROJECT,7089,TA,FIN COMPL
41070-012,HO CHI MINH CITY WATER SUPPLY PROJECT,7091,TA,FIN COMPL
42128-012,NSP: SSTA FOR PASUQUIN EAST WIND FARM DEVELOPMENT PROJECT,7097,TA,FIN COMPL
41220-012,INTEGRATED NATURAL RESOURCES & ENVIRONMENTAL MGMNT SECTOR DEVT PROGRAM,7109,TA,FIN COMPL
42075-012,KNOWLEDGE TRANSFER FOR PUBLIC PROCUREMENT,7111,TA,FIN COMPL
41665-012,WATER DISTRICT DEVELOPMENT SECTOR PROJECT,7122,TA,FIN COMPL
40687-012,RIVER BASIN WATER RESOURCES ALLOCATION AND MANAGEMENT POLICY,7127,TA,FIN COMPL
38411-023,INTITUTIONAL DEVT OF INTEGRATED WATER RESOURCES MGNT IN ORISSA,7131,TA,FIN COMPL
42192-012,INTEGRATED FLOOD AND RIVER EROSION MGMNT PROJ-ARUNACHAL PRADESH,7132,TA,FIN COMPL
42144-012,CAP BLDG & SCHOOL NETWORKING FOR EDUCATIONAL SERVICES IN THAILAND,7133,TA,FIN COMPL
38412-022,INTGRTD FLOOD&RIVERBANK EROSION RISK MGT PRJ-ASSAM(PH2),7136,TA,FIN COMPL
41456-012,Da Nang Water Supply Project,7144,TA,FIN COMPL
41425-012,Hai Phong Water Supply Project,7151,TA,FIN COMPL
37399-013,PROMOTION OF CLEAN POWER EXPORT DEVELOPMENT,7157,TA,FIN COMPL
41180-012,CAPACITY DEVELOPMENT FOR PUBLIC FINANCIAL MANAGEMENT,7161,TA,FIN COMPL
42035-012,ECONOMIC MANAGEMENT AND PUBLIC SECTOR REFORM,7166,TA,FIN COMPL
35354-013,RAILWAY SECTOR ENERGY EFFICIENCY STRATEGY,7171,TA,CANCELLED
41681-012,FACILITATING THE OPERN OF THE ECF ENERGY SMART IN MADHYA PRADESH,7172,TA,FIN COMPL
40545-012,STRENGTHENING CAPACITY FOR MANAGING CLIMATE CHANGE&THE ENVIRONMNT,7173,TA,FIN COMPL
42027-012,HIV/AIDS PREVENTION IN ADB INFRASTRUCTURE PROJ &THE MINING SECTOR,7175,TA,FIN COMPL
40263-022,ESTABLISHMENT OF THE SOLOMON ISLANDS MARITIME SAFETY ADMNSTRATION,7178,TA,FIN COMPL
36188-012,SECONDARY TOWNS INTEGRATED URBAN ENVIRONMENTAL IMPROVEMENT PROJCT,7182,TA,FIN COMPL
37049-023,INSTITUTNL STRNGTHNG FOR INTGRTD WATER RSOURCS MGNT IN 6 CIS RVR,7189,TA,ACTIVE
41326-012,MAINSTREAMING ENERGY EFFICIENCY MEASURES IN THAI MUNICIPALITIES,7194,TA,FIN COMPL
42469-012,STRNGTHNING THE RESILIENCE OF WATER SECT IN KHULNA TO CLMATE CHNG,7197,TA,FIN COMPL
42058-012,UTILIZTN OF FOREIGN CAPTL TO PROMOTE NRGY CNSRVTN&NRGY-EFFCNT PWR GEN,7202,TA,FIN COMPL
41380-013,SUPPORTING GOVERNANCE IN JUSTICE SECTOR REFORM IN THE PHILS,7210,TA,FIN COMPL
42057-012,CHINA CLEAN DEVELOPMENT MECHANISM FUND CAPACITY DEVELOPMENT,7212,TA,FIN COMPL
41461-012,SUSTAINABLE RURAL INFRASTRUCTURE DEVT PROJ IN THE N.MOUNTAIN PROV,7215,TA,FIN COMPL
42024-012,PREPARING NATL GDLNES FOR ECO-COMPNSATION IN RVR BASINS& A FRMWRK,7217,TA,FIN COMPL
40017-013,ENABLING THE PROTECTION OF JIAOZHOU BAY WATER QLTY&WETLAND ECOSYS,7219,TA,FIN COMPL
40282-012,GEO-INFORMATION TECHNOLOGY FOR HAZARD RISK ASSESSMENT,7220,TA,FIN COMPL
42356-012,"CAP DEVT FOR NAT'L ECONOMIC POLICY ANALYSIS&DEVT MGMNT, PHASE III",7226,TA,FIN COMPL
42320-012,SMALL AND MINI HYDROELECTRIC DEVELOPMENT PROJECT,7227,TA,FIN COMPL
41548-012,ISSYK-KUL SUSTAINABLE DEVELOPMENT PROJECT,7228,TA,FIN COMPL
42489-012,WATER SUPPLY AND SANITATION SERVICES,7240,TA,FIN COMPL
42328-012,IMPLMNTATN OF ASIAN CITY TRANSPORT-PROMOTING SUT IN ASIA PROJECT,7243,TA,FIN COMPL
42520-012,DEV OF PRUDENTIAL&SUPERVISION STANDRDS FOR ISLAMIC FINANCL MRKETS,7246,TA,FIN COMPL
42528-012,SOUTH ASIA STRATEGIC FRAMEWORK FOR AID FOR TRADE ROAD MAP,7248,TA,FIN COMPL
41534-012,STRNGTHNG THE CAP OF THE ASEC IN REGL ECNMIC INTGRTN&POLICY DIA 2,7249,TA,FIN COMPL
41224-012,AGUSAN RIVER BASIN INTEGRATED WATER RESOURCES MANAGEMENT PROJECT,7258,TA,FIN COMPL
42025-012,STRATEGY FOR DROUGHT MANAGEMENT,7261,TA,FIN COMPL
42182-013,CAPACITY BUILDING OF RENEWABLE ENERGY DEVELOPMENT,7262,TA,ACTIVE
39419-013,DEMAND-SIDE MANAGEMENT FOR MUNICIPAL STREET LIGHTING,7267,TA,FIN COMPL
42190-012,REGIONAL PUBLIC GOODS FOR HEALTH: COMBATING DENGUE IN ASEAN,7268,TA,FIN COMPL
43162-012,ENHANCING GENDER EQUALITY RESULTS IN S.ASIA DEV MEMBER COUNTRIES,7272,TA,FIN COMPL
41369-012,IMPLEMENTING THE GMS HRD STRATEGIC FRAMEWORK AND ACTION PLAN,7275,TA,FIN COMPL
41254-012,GOVERNANCE AND CAPACITY DEVELOPMENT INITIATIVE (PHASE 2),7277,TA,ACTIVE
43116-012,CARBON DIOXIDE CAPTURE&STORAGE DEMONSTRATION IN DEV COUNTRIES,7278,TA,FIN COMPL
42291-012,CREATION OF THE PACIFIC INFO SPRHWAY WITH THE UNIV OF S.PACIFIC,7282,TA,FIN COMPL
43164-012,INST FOR REGIONALISM:EHNANCNG ECO COOP&INTEGRATN IN ASIA&PACIFIC,7284,TA,FIN COMPL
43006-012,CARBON DIOXIDE CAPTURE&STORAGE DEMO-STRATGC ANLYSIS&CAP STRENGTNG,7286,TA,FIN COMPL
42453-012,ACHIEVING URBAN WATER SECURITY FOR SOUTH ASIA,7290,TA,CANCELLED
43153-012,NSP:MUNICIPAL WASTE TO ENERGY PROJECT,7294,TA,ACTIVE
42524-012,ROAD DATABASE DEVELOPMENT USING GEOGRAPHIC INFORMATION SYSTEM,7297,TA,FIN COMPL
37292-012,HIGH MOUNTAIN AGRIBUSINESS & LIVELIHOOD IMPROVEMENT(HIMALI) PROJECT,7298,TA,FIN COMPL
41213-012,"WATER SUPPLY, SANITATION AND DRAINAGE PROJECT",7301,TA,FIN COMPL
42037-012,TONLE SAP TECHNOLOGY DEMONSTRATIONS FOR PRODUCTIVITY ENHANCEMENT,7305,TA,FIN COMPL
43068-012,POLICY STUDY ON GOVT PUBLIC EXPENDITURE IN AGRICULTURAL PRODN,7306,TA,FIN COMPL
43126-012,"REGL COOP ON KNOWLDGE MGNT,POLICY&INSTITUTNL SUPPORT TO THE CTI",7307,TA,FIN COMPL
41270-012,SUSTAINABLE FUEL PARTNERSHIP STUDY:EXPLORING AN INNOVATIVE MARKET,7315,TA,FIN COMPL
36173-032,SUPPORTING CAPACITY DEVT FOR WASTEWATER MGMNT SERVICES IN COLOMBO,7320,TA,FIN COMPL
40389-012,PUNJAB CITIES IMPROVEMENT INVESTMENT PROGRAM,7321,TA,FIN COMPL
43173-012,STRENGTHENING CAPACITY FOR CLIMATE CHANGE ADAPTATION,7326,TA,FIN COMPL
42465-012,PROMOTING ACCESS TO RENEWABLE ENERGY IN THE PACIFIC,7329,TA,FIN COMPL
43214-012,INDIA MUNICIPAL FINANCE STUDY,7334,TA,FIN COMPL
41171-012,TRANSPORT SECTOR DEVELOPMENT PROJECT,7335,TA,FIN COMPL
43074-012,DEPOSIT INSURANCE ESTABLISHMENT,7337,TA,FIN COMPL
42212-012,STRENGTHENING INDONESIA'S ECONOMIC EARLY WARNING SYSTEM,7338,TA,FIN COMPL
42391-012,PORT VILA URBAN DEVELOPMENT PROJECT,7345,TA,FIN COMPL
43338-012,CAPDEV IN RESULTS-BASED MONITRNG&EVAL FOR CNTRS UNDR ADB'S CAREC,7348,TA,ACTIVE
43221-012,IMPROVING PUBLIC SERVICES THROUGH INFORMATION & COMM TECHNOLOGY,7351,TA,FIN COMPL
43078-012,CAREC: WORKING WITH THE PRIVATE SECTOR IN TRADE FACILITATION,7353,TA,FIN COMPL
43077-012,DEVELOPING CROSS-BORDER ECONOMIC ZONES BETWEEN PRC AND VIE,7356,TA,FIN COMPL
43072-012,TARAWA SANITATION IMPROVEMENT PROJECT,7359,TA,FIN COMPL
35182-022,FLOOD MANAGEMENT IN SELECTED RIVER BASINS PROJECT (PHASE II),7364,TA,FIN COMPL
43392-012,CAPACITY BUILDING PROGRAM ON CLEAN DEVELOPMENT MECHANISM,7365,TA,FIN COMPL
43329-012,NSP:PASIG RIVER CATCHMENT SEWERAGE PROJECT,7367,TA,FIN COMPL
43295-012,CLIMATE CHANGE IMPACT AND ADAPTATION STUDY IN THE MEKONG DELTA,7377,TA,FIN COMPL
43435-012,ESTABLISHMENT OF E-SYSTEMS IN SUPPORT OF INFRASTRUCTURE FINANCE,7379,TA,FIN COMPL
43076-012,ENHNCING BORDER TRADE SERVICES&RULES FOR SMALL&MED-SIZED ENTERPRS,7380,TA,FIN COMPL
43166-022,MADHYA PRADESH STATE ROADS III (SUBPROJECT 1),7390,TA,FIN COMPL
43166-132,ADV PRJ PREPAREDNESS FOR POV REDCTN-SUPPORT FOR JNNURM-SUBPROJ2,7392,TA,FIN COMPL
43071-012,STRENGTHNG CAP OF PACIFIC DMC TO RESPOND TO CLIMATE CHANGE (PH 1),7394,TA,FIN COMPL
43046-012,INFORMATION&COMMUNICATION TECH-BASED INCL GRWTH&PVRTY REDN IN PAC,7399,TA,FIN COMPL
41509-012,STRENGTHENING RURAL PRIMARY HEALTH SERVICES DELIVERY,7400,TA,FIN COMPL
43356-012,CONCENTRATING SOLAR THERMAL POWER DEVELOPMENT,7402,TA,FIN COMPL
43561-012,MANAGING CLIMATE IMPACTS ON HEALTH IN WATER&AGRI SCTRS&DISASTER,7407,TA,FIN COMPL
43181-012,POLICY OPTIONS TO SUPPORT CLIMATE-INDUCED MIGRATION,7408,TA,FIN COMPL
43166-092,ADV PRJ PREPAREDNESS FOR POV REDN-CAP DEV FOR SUSTAINABLE COASTAL,7410,TA,FIN COMPL
42140-012,INSTITUTIONAL MODERNIZATION TO IMPROVE THE BUSINESS ENVIRONMENT,7414,TA,FIN COMPL
43169-012,SUPPORT FOR THE NATIONAL ACTION PLAN ON CLIMATE CHANGE,7417,TA,FIN COMPL
43161-012,REGIONAL ECONOMICS OF CLIMATE CHANGE IN S.ASIA PART II:ADAPTATION,7423,TA,FIN COMPL
43048-012,PACIFIC PRIVATE SECTOR DEVELOPMENT INITIATIVE PHASE II,7430,TA,FIN COMPL
43165-012,GMS PHNOM PENH PLAN FOR DEVELOPMENT MANAGEMENT IV,7431,TA,FIN COMPL
42248-012,SECOND CHITTAGONG HILL TRACTS RURAL DEVT PROJECT (CHTRDP II),7432,TA,FIN COMPL
43149-012,ASIA PACIFIC PROCUREMENT PARTNERSHIP INITIATIVE,7437,TA,ACTIVE
43067-012,MANAGEMENT AND POLICY SUPPORT TO COMBAT LAND DEGRADATION,7439,TA,FIN COMPL
43051-012,DEVELOPING A LOW-CARBON ECONOMY IN YUNNAN PROVINCE,7442,TA,FIN COMPL
40634-032,ENERGY EFFICIENCY IMPROVEMENTS IN INNER MONGOLIA AUTONOMOUS REGN,7443,TA,FIN COMPL
43519-012,NSP:LAMTHAKONG WIND FARM DEVELOPMENT PROJECT,7444,TA,FIN COMPL
43518-012,NSP:CHAIYAPUN WIND FARM DEVELOPMENT PROJECT,7445,TA,FIN COMPL
42099-012,POLYTECHNIC DEVELOPMENT PROJECT,7453,TA,FIN COMPL
N/A-N/A,BEIJING CAPITAL CO. LTD.,7455,ND,ACTIVE
40253-012,GREATER MEKONG SUBREGION BIODIVERSITY CONSERVATION CORRIDORS,7459,TA,ACTIVE
37269-032,OUTCOME MONITORING AND PROCUREMENT REVIEW,7460,TA,FIN COMPL
43177-012,ULAANBAATAR CLEAN AIR,7462,TA,FIN COMPL
43421-012,ECONOMICS OF CLIMATE CHANGE&LOW CARBON GRWTH STRATEGIES IN N.ASIA,7465,TA,FIN COMPL
34389-042,IMPLEMENTATION OF SUBPROGRAM 4 OF THE FINANCIAL SECTOR PROGRAM II,7472,TA,FIN COMPL
37143-032,ADDRESSING SOCIAL&HEALTH ISSUES ASSOCIATED W/ROAD IMPRVMNT IN SEL,7476,TA,CANCELLED
40222-012,ASEAN+3 REGIONAL GUARANTEE & INVESTMENT MECHANISM (PHASE 3),7477,TA,FIN COMPL
43166-052,CAPACITY DEVT OF BIHAR POWER SECTOR ENTITIES - SUBPROJECT 4,7478,TA,FIN COMPL
43573-012,SSTA-SECOND URBAN PRIMARY HEALTH CARE PROJECT,7490,TA,FIN COMPL
43436-012,FOURTH HIGH-LEVEL FORUM ON AID EFFECTIVENESS,7494,TA,FIN COMPL
42224-012,ENHANCING FINANCIAL SECTOR SUPERVISION,7500,TA,FIN COMPL
43140-012,CAP STRNGTHNG&INSTNL DEV FOR BORDER MGNT&TRADE&TOURISM IN THE PAC,7503,TA,FIN COMPL
43299-012,INCREASING ACCESS TO ENERGY IN RURAL NEPAL,7504,TA,FIN COMPL
43443-012,CAPACITY ENHANCEMENT FOR COPING WITH CLIMATE CHANGE,7509,TA,FIN COMPL
44102-012,NEEDS ASSESSMENT AND DEVELOPMENT OF THE SOLAR ENERGY PROGRAM,7510,TA,FIN COMPL
43385-022,EMPOWERING THE POOR THROUGH INCREASING ACCESS TO ENERGY,7512,TA,ACTIVE
43195-012,COMPUTER ACCESS MENTORSHIP PROG-A PUB-PRIV PRTNRSHP FOR ENHANCING,7513,TA,FIN COMPL
43438-012,EVIDENCE-BASED ADVOCACY FOR FIGHTING HIV/AIDS IN ASIA&THE PACIFIC,7519,TA,FIN COMPL
43117-012,STRENGTHENING LOCAL CHAMBERS OF COMMERCE&INDUSTRY ALONG THE EWEC,7521,TA,FIN COMPL
44117-012,SUPPORTING GOVERNMENT PLANNING IN BUILDING CLIMATE RESILIENCE,7524,TA,FIN COMPL
43298-012,ESTABLISHMENT OF MICROINSURANCE,7525,TA,FIN COMPL
43431-012,BEST PRAC FOR REGULATRY FRMWRK&USE OF CREDT RATING INFO OF DCRA IN S.A,7527,TA,FIN COMPL
43224-012,STUDY ON A SOUTH ASIA REGIONAL POWER EXCHANGE,7529,TA,FIN COMPL
44066-012,WATER AND ADAPTATION INTERVENTIONS IN CENTRAL AND WEST ASIA,7532,TA,FIN COMPL
39369-012,STRENGTHENING CARBON FINANCING FOR REGL GRASSLAND MGNT IN N.ASIA,7534,TA,FIN COMPL
44126-012,STRENGTHENING THE ASIA PACIFIC ADAPTATION NETWORK,7535,TA,FIN COMPL
42339-012,IMPROVING LIQUIDITY OF BOND MARKETS IN ASEAN+3,7536,TA,ACTIVE
43166-182,ADV PROJ PREPAREDNESS FOR PVRTY REDN-LAND TRANSPORT MGNT-SUBPRJ6,7538,TA,FIN COMPL
42347-012,"ASIAN BONDS ONLINE WEBSITE PROJECT, PHASE III",7539,TA,FIN COMPL
44115-012,MAINSTREAMING PUBLIC-PRIVATE PARTNERSHIPS,7540,TA,FIN COMPL
44151-012,SHARING KNOWLEDGE ON COMMUNITY-DRIVEN DEVT IN ASIA & THE PACIFIC,7543,TA,FIN COMPL
43180-012,DEVELOPING A REGIONAL SOCIAL INVESTMENT EXCHANGE INITIATIVE,7549,TA,FIN COMPL
43531-012,DEV A GEOSPATIAL URBAN WATER SUPPLY&SANITATION UTILITY MGNT SYS,7551,TA,FIN COMPL
41348-012,SUPPORT FR TRADE FACILITATION N BRU-INO-MAL-PHI EAST ASEAN GROWTH,7552,TA,FIN COMPL
43273-012,ANALYTICAL AND CAPACITY DEVELOPMENT PARTNERSHIP,7554,TA,ACTIVE
43529-012,PUBLIC TRANSPORT INFORMATION AND COMMUNICATION TECHNOLOGY,7556,TA,FIN COMPL
44147-012,PROMOTING REGIONAL INFRASTRUCTURE DEVELOPMENT,7557,TA,FIN COMPL
43549-012,CAREC: POWER SECTOR REGIONAL MASTER PLAN,7558,TA,FIN COMPL
44183-012,REGL POWER TRANSMISSION ON ENHANCEMENT PROJ (FORMERLY TRANSMISSIO,7559,TA,FIN COMPL
39499-012,STRENGTHENING THE COORDINATION OF THE GMS PROGRAM,7561,TA,ACTIVE
39071-042,CAPACITY DEV'L FOR METROPOLITAN SANITATION MNGT & HEALTH PROJECT,7562,TA,FIN COMPL
44067-012,PROMOTING GENDER-INCLUSIVE GROWTH IN CENTRAL & WEST ASIA DMCS,7563,TA,ACTIVE
44042-012,INNOV FINANCING MECH FOR ENRGY EFFICIENCY&EMISSION REDN IN SMES,7564,TA,FIN COMPL
43166-032,ADV PROJ PREPAREDNESS FOR PVRTY REDN-PREP INVT PLAN FOR HIMACHAL-SPRJ7,7565,TA,FIN COMPL
44295-012,THREE WIND FARM PROJECTS IN LUZON,7569,TA,FIN COMPL
44101-012,REFORMING HIGHER EDUCATION FOR A KNOWLEDGE SOCIETY,7571,TA,FIN COMPL
38426-012,DECENTRALIZED RURAL INFRASTRUCTURE & LIVELIHOOD PROJECT II,7573,TA,FIN COMPL
44089-012,DTERMNING D' POTENTL FR CARBON CAPTURE & STORAGE N SOUTHEAST ASIA,7575,TA,FIN COMPL
44083-012,PROMOTING AN INTERLINKED ASEAN CAPITAL MARKET,7576,TA,FIN COMPL
44179-012,SSTA-CAP DEVL OF SLCTED DEVLOPNG MEMBR CNTRIES ON INT'L TAXATION-,7580,TA,FIN COMPL
44158-062,ENBLING CLMTE CHNGE RSPNSE N ASIA & D'PACIFIC-SUPRTING (SUBPROJ,7581,TA,FIN COMPL
42179-012,GMS SUBREGION: CAP BLDG FR HIV/AIDS PRVNTION N LAO PDR & VIET NAM,7582,TA,FIN COMPL
43249-012,GEOTHERMAL POWER DEVELOPMENT PROJECT,7583,TA,FIN COMPL
43407-013,STRENGTHENED GENDER IMPACTS OF SOCIAL PROTECTION,7587,TA,FIN COMPL
43413-012,STATE-OWNED ENTERPRISE RATIONALIZATION PROGRAM,7588,TA,FIN COMPL
43281-012,PREPARING HYDROPOWER DEVELOPMENT FOR ENERGY CRISIS,7590,TA,FIN COMPL
43361-012,ULAANBAATAR WATER & SANITATION SERVICES & PLANNING IMPROVEMENT,7591,TA,FIN COMPL
44182-012,CLIMATE RESILIENCY FOR NATURAL RESOURCES INVESTMENTS,7599,TA,FIN COMPL
41249-022,MULTIMODAL TRANSPORT PROJECT,7600,TA,FIN COMPL
44152-012,UPDATING AND IMPROVING THE SOCIAL PROTECTION INDEX,7601,TA,FIN COMPL
43166-162,MADHYA PRADESH URBAN ENVIRONMENTAL IMPROVEMENT PROJ II (SUBPRJ 8),7605,TA,CANCELLED
38558-013,SUPPORTNG POLCY&INSTTNL REFRMS &CAPDEV IN THE WATER SECTOR,7610,TA,ACTIVE
41443-012,"STRNGTHN INSTNL&FINCL ARRNGMNTS,OPER&MAINT,&GVRNACE IN RDTRNSPRT",7611,TA,FIN COMPL
44114-012,SUPPORT FOR POST-PRIV SECTOR&SME DEVT PROGRAM PARTNERSHIP FRMWRK,7612,TA,FIN COMPL
44233-012,KNOWLEDGE PLATFORM DEVL FOR THE ASIA SOLAR ENERGY INITIATIVE,7613,TA,FIN COMPL
44361-012,SSTA-SUPPORT FOR THE FORMULATION OF A NAT'L STRATEGIC PLAN,7616,TA,FIN COMPL
44046-012,DEVL OF REGL COOPERATION PROGMS FOR MONGOLIA & THE PRC (PHASE 2),7618,TA,ACTIVE
