,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,Australia,2011,2011,265,G0264-0265,4239402,,,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,6.06,,0,6.44,,,6.44,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/17/2011,04/10/2012,,,,Sovereign,,,,,,
,Australia,2011,2011,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,65,,0,15.6,,,15.6,,DVA,,Collaborative,Bilateral,Grant,,3100,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,DR 2011. para on grant cof and new proj pp 15.
,Australia,2011,2011,275,2832/G0275-76,42391,,,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,,5,,,5,26.5,,,26.5,,DVA,,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Urban Sector Development,,,,,,12/13/2011,,,,,Sovereign,,,,,"PIGGYBACKED TO L2832; RELATED TO G0276/AUS; EARLIER APPROVED AMT IS $25.611M - MINOR CHANGE IN SCOPE(REVISED COFIN ARRANGEMENTS DTD 20FEB12) INCREASED THIS AMT BY $889,000 ",DR 2011. new proj pp 15.
,Australia,2011,2011,276,2832/G0275-76,42391,,,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,,5,,,5,4.5,,,4.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Urban Sector Development,,,,,,12/13/2011,,,,,Sovereign,,,,,"was recorded as $5.40, should be 5,389k.  adjusted in 20 Feb 2012, decrease of 889k",DR 2011. new proj pp 15.
,Australia,2011,2011,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,320,,,320,35,,,35,35,DVA,,Collaborative,Bilateral,Grant,ADF,3100,Education,,Pre-Primary and Basic Education,,,,,,07/05/2011,12/05/2011,,,,Sovereign,,,,,,"DR 2011. para on grant cof pp 13,15."
,Australia,2012,2012,187,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),SERD,SETC,01/12/2012,,,,,0,0.96,,,0.96,0.96,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Rail Transport,,,,Yes,,01/12/2012,09/10/1974,,06/30/1979,,Sovereign,,,,,,
,Australia,2012,2012,210,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0,2.14,,,2.14,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,,,,Yes,,03/15/2012,,,,,Sovereign,,,,,,
,Australia,2012,2012,285,2852/3125/0285,46009-003,,,CAM,Flood Damage Emergency Reconstruction,SERD,CARM,03/27/2012,,55,,,55,5.25,,,5.25,,DVA,PS,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,,,,No,,03/27/2012,,,,,Sovereign,,,,,,
,Australia,2012,2012,289,G0272/0289,35174-082,,,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0,3.47,,,3.47,3.47,DVA,PS,Full Administration,Bilateral,Grant,,3100,Education,,,11/03/2011,,,Yes,,03/28/2012,,,,,Sovereign,,,,,$3.465,
,Australia,2012,2012,292,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0,4.3,,,4.3,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,,,,Yes,,05/23/2012,,,,,Sovereign,,,,,A$4 million,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
,Australia,2013,2013,336,336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0,6.11,,,6.11,,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,01/15/2013,,,,,Sovereign,,,,,"from AusAID; $4.11 million is denominated in US$, A$2 million assumes exchange rate of A$1 = US$1",
,Australia,2013,2013,337,2372/0095/2988/0337,36353-013,,,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,SERD,SETC,02/11/2013,0,25,0,,25,12.43,,,12.43,12.43,DVA,PS,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,Road Transport,,,,,,02/11/2013,,,,Under Administration,Sovereign,,,,,,"DR 2010. para on RCI and on new proj, pp 27. DR 2011. para on FCA, pp 10."
,Australia,2013,2013,348,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,2,,0,4.5,,,4.5,,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Renewable Energy,,,,No,,06/27/2013,,,,,Sovereign,,,,,,
,Australia,2013,2013,353,3013/0353,40255-033,,,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,410,,,,410,134,,,134,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,08/05/2013,,,,,Sovereign,Joint,,,,,
,Australia,2014,2014,3123 (CG),3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,80,,,,80,48.83,,,48.83,48.83,DVA,PS,Collaborative,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,03/31/2014,,,,,Sovereign,Parallel,,,,,
,Australia,2015,2015,439,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,5,,0,4,,,4,,DVA,PS,Full Administration,Bilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,,"Urban Sewerage, Urban Water Supply",07/09/2015,,,No,,09/28/2015,,,,,Sovereign,Joint,,,,,
,Australia,2015,2015,443,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,0,0,0,0,0,4.74,,,4.74,4.74,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,,,,,Yes,,10/16/2015,,,,,Sovereign,Joint,,,,,
,Australia,2015,2015,,442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,2,,0,1.1,,,1.1,,DVA,PS,Collaborative,Bilateral,Grant,,3600,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,09/30/2015,,,,,Sovereign,Parallel,,,,,
,"Australia,Australia",2012,2012,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0,0,0,0,0,0.74,,,0.74,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Road Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,Successful,,,"$743,331.01 actual amount","DR 2011. Case Study Brief on grant cof, pp 16."
,"Australia,Australia",2012,2012,317,2936-2937/G0316-0317,40190-023,,,VIE,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,11/06/2012,,45,,,45,5.89,,,5.89,,DVA,,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,11/06/2012,,,,Approved,Sovereign,,,,,Through AusAID 5.8874,
,"Australia,Australia",2014,2014,285,2852/3125/0285,46009-003,,,CAM,Flood Damage Emergency Reconstruction ﾖ Additional Financing,SERD,CARM,04/11/2014,,75,,,75,6.68,,,6.68,,DVA,PS,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,,,,Yes,,04/11/2014,,,,,Sovereign,Joint,,,,,
,"Australia,Australia",2014,2014,402,3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,54,,,54,6.67,,,6.67,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,Road Transport,05/16/2014,,,No,,08/08/2014,,,,,Sovereign,Joint,,,,A$7.6 million,
,"Australia,Australia",2015,2015,336,336,45303-001,,,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0,0.36,,,0.36,,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,Yes,,08/07/2015,,,,,Sovereign,Joint,,,,"$363,645 actual grant mount",
,"Australia,Australia",2015,2015,425,2686/0226/0425,44304-014,,,PNG,Microfinance Expansion ﾗ Additional Financing,PARD,PLCO,02/09/2015,0,0,0,,0,2.85,,,2.85,2.85,DVA,PS,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,11/26/2014,,,Yes,,02/09/2015,,,,,Sovereign,Joint,,,,,
,"Australia,Australia",2015,2015,466,3151/401-2/466-7/8299-300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,11.85,,,11.85,11.85,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,,,,No,,12/08/2015,,,,Approved,Sovereign,Joint,,,,,
,"Australia,Australia",2015,2015,,458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,25,,0,1.5,,,1.5,,DVA,PS,Collaborative,Bilateral,Grant,,4000,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,Parallel,,,,,
,"Australia,Australia",2016,2016,,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,2,,0,1.8,,,1.8,1.8,DVA,PS,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,,05/25/2015,,,No,,03/21/2016,,,,Approved,Sovereign,Joint,,,,,
Belgium,Belgium,,,,,,,,,,,,,162.8,53.9,0,0,216.7,0.51,14.7,0,15.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belgium,1973,1973,,0168-169,,,,PAK,Mangla Hydropower,CWRD,,12/17/1973,12.8,3.9,0,,16.7,,7.6,,7.6,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/17/1973,,,,,Sovereign,,,,,,
,Belgium,1986,1986,,824,,,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,150,0,0,,150,,7.1,,7.1,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/18/1986,,,,,Sovereign,,,,,,
,Belgium,1997,1997,,1537,,,,VIE,Lower Secondary Education Development,SERD,SESS,09/16/1997,0,50,0,,50,0.51,,,0.51,,Non-DVA,,,Bilateral,Grant,ADF,3100,Education,,,,,,,,09/16/1997,,,,,Sovereign,,,,,,
Canada,Canada,,,,,,,,,,,,,631.7,988.7,14.5,0,1620.4,217.83,167.67,0,385.5,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,1976,1976,,0279-0280,,,,PAK,Port Qasim,CWRD,,11/18/1976,48.6,0,0,,48.6,,6.06,,6.06,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/18/1976,,,,,Sovereign,,,,,,
,Canada,1977,1977,,0332/8010,,,,PAK,Tarbela Hydropower (Supplementary & Extension),CWRD,SAEN,12/15/1977,38,0,0,,38,,35,,35,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/15/1977,,,,,Sovereign,,,,,,
,Canada,1981,1981,,523,,,,BAN,Power System Rehabilitation and Expansion,SARD,,09/22/1981,0,26.5,0,,26.5,1.26,,,1.26,,Non-DVA,,,Bilateral,Grant,ADF,3200,Energy,,,,,,,,09/22/1981,,,,,Sovereign,,,,,,
,Canada,1981,1981,,541,,,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,0,72,0,,72,,20,,20,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,11/01/1981,,,,,Sovereign,,,,,,
,Canada,1982,1982,,601,,,,PAK,Tarbela Hydropower Extension (Units 9 and 10),CWRD,,11/23/1982,29,0,0,,29,,17,,17,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/23/1982,,,,,Sovereign,,,,,,
,Canada,1983,1983,,623,,,,THA,Mineral Resources Development,SERD,SERD,04/14/1983,39,0,0,,39,7.07,,,7.07,,Non-DVA,,,Bilateral,Grant,OCR,3500,Industry and Trade,,,,,,,,04/14/1983,,,,,Sovereign,,,,,,
,Canada,1984,1984,,700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,0,122,0,,122,,37.2,,37.2,,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/25/1984,,,,,Sovereign,,S,,,PCR Dec00,
,Canada,1984,1984,,701,,,,PAK,Tarbela Hydropower Extension (Units 11 and 12),CWRD,,11/01/1984,,,,,0,,17.41,,17.41,,Non-DVA,,,Bilateral,Loan,,3200,Energy,,,,,,,,11/01/1984,,,,,Non-Sovereign,,,,,,
,Canada,1987,1987,,869,,,,PAK,Oil and Gas Development,CWRD,,12/03/1987,43,0,0,,43,0.2,,,0.2,,Non-DVA,,,Bilateral,Grant,OCR,3200,Energy,,,,,,,,12/03/1987,,,,,Sovereign,,,,,,
,Canada,1988,1988,,888,,,,SRI,Emergency Schools Restoration,SARD,,06/30/1988,0,15,0,,15,4,,,4,,Non-DVA,PS,,Bilateral,Grant,ADF,3100,Education,,,,,,,,06/30/1988,,,,,Sovereign,,,,,,
,Canada,1998,1998,,1609,,,,NEP,Community Groundwater Irrigation Sector,SARD,SAAE,11/01/1998,0,30,0,,30,2.8,,,2.8,,Non-DVA,PS,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/01/1998,,,,,Sovereign,,,,,CIDA approval date:  24Oct97.  PCR December 2008.,
,Canada,2003,2003,4209(L),2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,0,100,0,,100,20,,,20,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/03/2003,04/19/2004,,07/19/2012,,Sovereign,,Successful,,,"ADB admin. CAD30,600,000","DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
,Canada,2004,2004,4559,2101/4559 (L),26061,,,BAN,Teaching Quality Improvement for Secondary Education,SARD,SASS,11/09/2004,0,68.91,0,,68.91,18,,,18,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/09/2004,04/28/2005,,,,Sovereign,,,,,Ref final RRP (Joint grant cf is subject to final confirmation by CIDA.  ADB-administered grant fund.,
,Canada,2004,2004,,2123,,,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,0,6.4,0,,6.4,5,,,5,,Non-DVA,,,Bilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,12/09/2004,,,,,Sovereign,,,,,CAN$6.3 million.  PCR 25Sep06.,
,Canada,2005,2005,3,2163/2164/0003,34152,,,INO,Community Water Services and Health,SERD,SESS,04/07/2005,34.1,30.59,0,,64.69,4,,,4,,DVA,PS,Full Administration,Bilateral,Grant,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,04/07/2005,04/12/2006,,,,Sovereign,,Partly Successful,,,Aceh and Nias-North Sumatra emergency component. From multisector to water supply,
,Canada,2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,0,15,0,,15,5,,,5,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,11/03/2005,,,,,Sovereign,,,,,Can $ 6 m.,
,Canada,2006,2006,52,2227/0033/0052,36252,,,AFG,Western Basin Water Resources Management,CWRD,,08/25/2006,0,47.3,14.5,,47.3,8.35,,,8.35,,DVA,,Full Administration,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/25/2006,05/31/2006,,,,Sovereign,,,,,,"DR 2012. line in CWRD section, pp 8."
,Canada,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0,15,0,,15,3.6,,,3.6,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,,Can $4 million.,
,Canada,2007,2007,76,9024/0076,,,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),CWRD,,03/28/2007,0,0,0,,0,12.8,,,12.8,12.8,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,03/28/2007,08/13/2007,,06/30/2011,,Sovereign,,,,,Grant Number 0076; The anchor proj (Grant 9024) was approved in 2002 with funding from JFPR ($15 - 3Oct02) and Kuwait Fund ($15m) on 26May2003.,
,Canada,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,7,,,7,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,,CAN$ 7.5m,
,Canada,2008,2008,110,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,0,120,0,,120,10,,,10,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,01/31/2008,02/19/2008,,04/20/2011,,Sovereign,,Highly Successful,,,Grant #0110. Grant Agreement signed (28Mar08).,"DR 2009. para on NET cof, pp. 36."
,Canada,2009,2009,4209(L),2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Supplementary),SARD,SASS,01/30/2009,0,0,0,,0,30,,,30,,DVA,,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,01/30/2009,04/19/2004,,07/19/2012,,Sovereign,,Successful,,, PIGGYBACKED TO LOAN 2015 APPROVED 3 NOV 2003. ,"DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
,Canada,2010,2010,206,0118/0206,,,,NEP,Governance Support Program (Subprogram I) (Supplementary),SARD,,04/12/2010,0,0,0,,0,8.8,,,8.8,,DVA,,Full Administration,Bilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,04/12/2010,,,,,Sovereign,,Successful,,, THIS GRANT IS SUPPL TO G-0118 ,DR 2010. para on governance pp 41.
,Canada,2011,2011,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,320,,,320,65,,,65,,DVA,,Collaborative,Bilateral,Grant,ADF,3100,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,,"DR 2011. para on grant cof pp 13,15."
,Canada,2013,2013,343,2928/0343,42099-013,,,INO,Polytechnic Education Development,SERD,IRM,04/12/2013,75,,,,75,4.95,,,4.95,,DVA,PS,Full Administration,Bilateral,Grant,,3100,Education,,Tertiary and Higher Education,03/07/2013,,,,,04/12/2013,,,,,Sovereign,Joint,,,,,
,"Canada,CEFPF-CCFPSA",2013,2013,8278,3089/8277/8278,42916,,,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,250,,,,250,,20,,20,,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Renewable Energy,,,,No,,12/05/2013,,,,,Non-Sovereign,Joint,,,,,
,"Canada,CEFPF-CCFPSA",2014,2014,8281,3130/7407/8281,47919-014,,,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,75,,,,75,,15,,15,,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,05/19/2014,,,,,Non-Sovereign,Joint,,,,,
CEF-CEFPF,CEF-CEFPF,,,,,,,,,,,,,370.58,261,25,8.21,639.79,21.5,0,0,21.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CEF-CEFPF,2008,2008,109,109,,20,,PRC,Capacity Building for Energy Efficiency Implementation,EARD,,06/04/2008,35,0,0,,35,0.8,,,0.8,,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3200,Energy,,,,,,,,06/04/2008,02/10/1970,,04/24/1974,,Sovereign,,,,,,"DR 2009. Case Study: Backing LEDs and Solar Power, pp 30-31."
,CEF-CEFPF,2009,2009,183,2587/0183,40553,,,NEP,Energy Access and Efficiency Improvement,SARD,SAEN,11/27/2009,0,65,0,,65,4.2,,,4.2,,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,ADF,3200,Energy,,,,,,,,11/27/2009,06/14/2010,,,,Sovereign,,,,,,"DR 2011. box on CEFPF, pp 26."
,CEF-CEFPF,2010,2010,198,2619/0198/8245,40061,,,INO,Java-Bali Electricity Distribution Performance Improvement,SERD,SEEN,03/22/2010,50,0,0,,50,1,,,1,1,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3200,Energy,,,,,,,,03/22/2010,04/25/2011,,,,Sovereign,Joint,,,,,
,CEF-CEFPF,2010,2010,201,2628/EI7311/0201,,,,THA,Solar Power,PSOD,,04/16/2010,70,0,0,,70,2,,,2,,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3200,Energy,,,,,,,,04/16/2010,03/13/1975,,05/20/1985,,Non-Sovereign,,,,,CLEAN ENERGY FUND UNDER THE CLEAN ENERGY FINANCING PARTNERSHIP FACILITY; PIGGYBACKED TO NSP LOAN 2628/EI 7311. ,
,CEF-CEFPF,2010,2010,202,2632/0202/0203,40682,,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,66.08,0,0,,66.08,3,,,3,3,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3900,Multisector,3900,,,,,,,04/16/2010,10/15/2010,,,,Sovereign,,,,,,
,CEF-CEFPF,2012,2012,303,0303/2892/2893,43576-013,,,SRI,Clean Energy and Network Efficiency Improvement,SARD,SAEN,09/18/2012,100,30,,,130,1.5,,,1.5,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,09/18/2012,,,,,Sovereign,,,,,,
,CEF-CEFPF,2013,2013,354,3015/0354/8272,41074-013,,,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,49.5,,,,49.5,2,,,2,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,No,,08/27/2013,,,,,Sovereign,Joint,,,,,
,CEF-CEFPF,2013,2013,371,0370/0371/0373,46044-002,,,SAM,Renewable Energy Development and Power Sector Rehabilitation,PARD,PATE,11/15/2013,,,10,8.21,8.21,1,,,1,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Renewable Energy,,,,No,,11/15/2013,,,,,Sovereign,Joint,,,,,
,CEF-CEFPF,2014,2014,384,2517/0384,42182-013,,,VIE,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing,SERD,SEEN,04/09/2014,,151,,,151,3,,,3,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Renewable Energy,07/16/2013,,,Yes,,04/09/2014,,,,Approved,Sovereign,,,,,memo of cofinancing approval with Michelle,
,CEF-CEFPF,2015,2015,453,3309/0452/0453,46535-001,,,TAJ,Strengthening Technical and Vocational Education and Training,CWRD,CWPF,11/09/2015,,15,15,,15,2,,,2,2,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3100,Education,,,03/18/2015,,,No,,11/09/2015,,,,Approved,Sovereign,Joint,,,,,
,CEF-CEFPF,2015,2015,468,2979/8264/0468,42361-014,,,CAM,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,SERD,SEEN,12/09/2015,,,,,0,1,,,1,1,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,Yes,,12/09/2015,,,,Approved,Sovereign,Joint,,,,,
CEFPF-CCFPSA,CEFPF-CCFPSA,,,,,,,,,,,,,325,0,0,0,325,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Canada,CEFPF-CCFPSA",2013,2013,8278,3089/8277/8278,42916,,,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,250,,,,250,,20,,20,,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Renewable Energy,,,,No,,12/05/2013,,,,,Non-Sovereign,Joint,,,,,
,"Canada,CEFPF-CCFPSA",2014,2014,8281,3130/7407/8281,47919-014,,,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,75,,,,75,,15,,15,,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,05/19/2014,,,,,Non-Sovereign,Joint,,,,,
China Construction Bank,China Construction Bank,,,,,,,,,,,,,100,0,0,0,100,0,81.73,0,81.73,81.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"P.R.C.,China Construction Bank",2015,2015,,3308,47051-002,,,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,100,,,,100,,81.73,,81.73,81.73,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,3214,Energy Efficiency and Conservation,04/17/2015,,,No,,10/30/2015,,,,Approved,Sovereign,Parallel,,,,,
Cities Alliance,Cities Alliance,,,,,,,,,,,,,0,0,0,0,0,0.9,0,0,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cities Alliance,No Approval Date,2003,,2063,32499,,,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,0,0,0,0,0,0.9,,,0.9,,Non-DVA,,,Multilateral,Grant,,3900,Multisector,3900,,,,,,,,,,,,Sovereign,,,,,,
CTF,CTF,,,,,,,,,,,,,1238.04,20,0,0,1258.04,5,574.8,0,579.8,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CTF,2012,2012,326,2964/0326/8261,43207-013,,,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,300,,,,300,5,,,5,,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport and ICT,,,,,,No,,12/11/2012,,,,,Sovereign,,,,,"The $5 million grant amount also includes $240,000 as project administration fees.","DR 2012. para in SERD section on New Initiatives, pp 25."
,CTF,2012,2012,8261,2964/0326/8261,43207-013,,,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,300,,,,300,,100,,100,,DVA,PS,Full Administration,Global Fund,Loan,,3700,Transport and ICT,,,,,,No,,12/11/2012,,,,,Sovereign,,,,,Cofin 8261,"DR 2012. para in SERD section on New Initiatives, pp 25."
,CTF,2012,2012,,2875/7356/8256,45923-01,,,THA,Provincial Solar Power,PSOD,PSIF2,06/25/2012,0,0,0,0,0,,15,,15,15,DVA,,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy,,,,No,,06/25/2012,,,,,Non-Sovereign,,,,,"12.60 in the financing plan, however, 15 million was approved as per conversation with Ms. Bing of 20 July 2012, use 15 million to make it consistent with report to CIF Trustee  Cofin 8256",
